fund_code,fund_name,nav_t2,estimated_nav_current,current_price,premium_t1,premium_current,premium_change,gold_return_total,arbitrage_signal,analysis_time
,港股通金融ETF,0,0,1.516,0.0,0,0.0,0.0024752475247524753,HOLD,2025-05-24 20:10:38
,标普500ETF基金,0,0,1.51,0.0,0,0.0,0.0024752475247524753,HOLD,2025-05-24 20:10:38
,恒生科技ETF基金,0,0,1.35,0.0,0,0.0,0.0024752475247524753,HOLD,2025-05-24 20:10:38
,价值基金LOF,0,0,1.207,0.0,0,0.0,0.0024752475247524753,HOLD,2025-05-24 20:10:38
,恒生科技ETF基金,0,0,0.696,0.0,0,0.0,0.0024752475247524753,HOLD,2025-05-24 20:10:38
,港股金融ETF,0,0,1.363,0.0,0,0.0,0.0024752475247524753,HOLD,2025-05-24 20:10:38
,港股创新药ETF基金,0,0,1.2,0.0,0,0.0,0.0024752475247524753,HOLD,2025-05-24 20:10:38
,恒生指数基金LOF,0,0,1.114,0.0,0,0.0,0.0024752475247524753,HOLD,2025-05-24 20:10:38
,恒生科技ETF指数基金,0,0,0.701,0.0,0,0.0,0.0024752475247524753,HOLD,2025-05-24 20:10:38
,恒生医疗ETF基金,0,0,1.389,0.0,0,0.0,0.0024752475247524753,HOLD,2025-05-24 20:10:38
